ring_id,fiber_id,x,y,d,disp,type
1,0,9.47104057131489e-44,-1.546738304939677e-27,35.3,3,sky1
2,0,-32.042939553375824,-18.499999950400504,35.3,3,sky1
2,1,-32.04293955337582,18.499999950445805,35.3,3,sky1
2,3,1.2621014147980178e-11,36.9999996031917,35.3,3,sky1
2,5,32.04293955340108,18.49999995044581,35.3,3,sky1
2,4,32.042939553401084,-18.499999950400486,35.3,3,sky1
2,2,1.2634607727256317e-11,-36.99999960315852,35.3,3,sky1
3,0,-64.0858767868585,-36.999999603151345,35.3,3,sky1
3,1,-64.08587781791653,-1.177238502357354e-14,35.3,3,sky1
3,2,-64.08587678685849,36.99999960319169,35.3,3,sky1
3,4,-32.04293852228365,55.49999866053775,35.3,3,sky1
3,6,1.2611951152994453e-11,73.99999682515045,35.3,3,sky1
3,8,32.04293852230888,55.49999866053775,35.3,3,sky1
3,11,64.08587678688374,36.999999603191704,35.3,3,sky1
3,10,64.08587781786535,3.924128257009859e-15,35.3,3,sky1
3,9,64.08587678688379,-36.99999960315131,35.3,3,sky1
3,7,32.04293852230887,-55.499998660582285,35.3,3,sky1
3,5,1.2639138310380297e-11,-73.99999682516307,35.3,3,sky1
3,3,-32.0429385222836,-55.499998660582285,35.3,3,sky1
4,0,-96.12880938055167,-55.499998660615056,35.3,3,sky1
4,1,-96.12881247373168,-18.49999995039292,35.3,3,sky1
4,2,-96.12881247373168,18.499999950262602,35.3,3,sky1
4,3,-96.12880938055167,55.49999866072094,35.3,3,sky1
4,5,-64.08587369365405,73.99999682515045,35.3,3,sky1
4,7,-32.042936460171845,92.49999379914668,35.3,3,sky1
4,9,1.2602887753207679e-11,110.9999892848265,35.3,3,sky1
4,11,32.04293646019722,92.49999379914668,35.3,3,sky1
4,13,64.0858736936793,73.99999682515045,35.3,3,sky1
4,17,96.12880938057693,55.499998660720955,35.3,3,sky1
4,16,96.12881247375694,18.499999950445815,35.3,3,sky1
4,15,96.12881247375694,-18.499999950392976,35.3,3,sky1
4,14,96.12880938057698,-55.49999866061501,35.3,3,sky1
4,12,64.08587369367932,-73.99999682514728,35.3,3,sky1
4,10,32.0429364601972,-92.4999937991159,35.3,3,sky1
4,8,1.2643668486370389e-11,-110.99998928488495,35.3,3,sky1
4,6,-32.042936460171894,-92.49999379911591,35.3,3,sky1
4,4,-64.08587369365405,-73.99999682514728,35.3,3,sky1
5,0,-128.1717350145609,-73.99999682514708,35.3,3,sky1
5,1,-128.17174120091198,-36.99999960313508,35.3,3,sky1
5,2,-128.17174326306144,-2.35447692895414e-14,35.3,3,sky1
5,3,-128.17174120091198,36.99999960300849,35.3,3,sky1
5,4,-73.99999682515045,-128.17173501456088,35.3,3,sky1
5,6,-96.12880319413938,92.49999379914668,35.3,3,sky1
5,8,-64.08586853833941,110.9999892848265,35.3,3,sky1
5,10,-32.0429333669747,129.49998298485644,35.3,3,sky1
5,12,1.2593823949422078e-11,147.99997460098695,35.3,3,sky1
5,14,32.0429333669999,129.49998298485644,35.3,3,sky1
5,16,64.08586853836464,110.9999892848265,35.3,3,sky1
5,18,96.1288031941646,92.49999379914668,35.3,3,sky1
5,23,128.1717350145861,73.99999682515046,35.3,3,sky1
5,22,128.17174120093722,36.999999603008504,35.3,3,sky1
5,21,128.17174326301028,7.848255756409094e-15,35.3,3,sky1
5,20,128.17174120093725,-36.999999603135045,35.3,3,sky1
5,19,128.1717350145862,-73.99999682514698,35.3,3,sky1
5,17,96.12880319416462,-92.49999379909505,35.3,3,sky1
5,15,64.08586853836461,-110.99998928487652,35.3,3,sky1
5,13,32.042933367,-129.49998298474668,35.3,3,sky1
5,11,1.2648198254862376e-11,-147.99997460118274,35.3,3,sky1
5,9,-32.04293336697474,-129.49998298474668,35.3,3,sky1
5,7,-64.08586853833931,-110.99998928487652,35.3,3,sky1
5,5,-96.12880319413931,-92.49999379909508,35.3,3,sky1
