ring_id,fiber_id,x,y,d,disp
1,0,1.546738304939677E-27,0.0,35.3,3
2,0,18.4999999504005,-32.042939553375824,35.3,3
2,1,-18.499999950445808,-32.04293955337582,35.3,3
2,2,36.99999960315852,1.2632342130702194E-11,35.3,3
2,3,-36.9999996031917,1.2623279744534303E-11,35.3,3
2,4,18.49999995040049,32.042939553401084,35.3,3
2,5,-18.499999950445808,32.04293955340108,35.3,3
3,0,36.99999960315134,-64.0858767868585,35.3,3
3,1,7.848256766560548E-15,-64.08587781791653,35.3,3
3,2,-36.9999996031917,-64.08587678685849,35.3,3
3,3,55.499998660582285,-32.0429385222836,35.3,3
3,4,-55.49999866053775,-32.04293852228365,35.3,3
3,5,73.99999682516307,1.2634607117417854E-11,35.3,3
3,6,-73.99999682515045,1.2616482345956894E-11,35.3,3
3,7,55.499998660582285,32.04293852230887,35.3,3
3,8,-55.49999866053775,32.04293852230888,35.3,3
3,9,36.999999603151316,64.08587678688379,35.3,3
3,10,0.0,64.08587781786535,35.3,3
3,11,-36.9999996031917,64.08587678688374,35.3,3
4,0,55.49999866061505,-96.12880938055167,35.3,3
4,1,18.499999950392912,-96.12881247373168,35.3,3
4,2,-18.49999995026261,-96.12881247373168,35.3,3
4,3,-55.49999866072095,-96.12880938055167,35.3,3
4,4,73.99999682514728,-64.08587369365405,35.3,3
4,5,-73.99999682515045,-64.08587369365405,35.3,3
4,6,92.49999379911591,-32.0429364601719,35.3,3
4,7,-92.49999379914668,-32.04293646017184,35.3,3
4,8,110.99998928488495,1.2636871697291232E-11,35.3,3
4,9,-110.9999892848265,1.2609684542286831E-11,35.3,3
4,10,92.4999937991159,32.04293646019719,35.3,3
4,11,-92.49999379914668,32.042936460197225,35.3,3
4,12,73.99999682514728,64.08587369367932,35.3,3
4,13,-73.99999682515045,64.0858736936793,35.3,3
4,14,55.49999866061502,96.12880938057698,35.3,3
4,15,18.499999950392983,96.12881247375694,35.3,3
4,16,-18.499999950445808,96.12881247375694,35.3,3
4,17,-55.49999866072095,96.12880938057693,35.3,3
5,0,73.99999682514706,-128.1717350145609,35.3,3
5,1,36.99999960313507,-128.17174120091198,35.3,3
5,2,1.5696513533129175E-14,-128.17174326306144,35.3,3
5,3,-36.9999996030085,-128.17174120091198,35.3,3
5,4,-73.99999682515045,-128.17173501456088,35.3,3
5,5,92.49999379909508,-96.12880319413931,35.3,3
5,6,-92.49999379914668,-96.12880319413938,35.3,3
5,7,110.99998928487652,-64.08586853833931,35.3,3
5,8,-110.9999892848265,-64.08586853833941,35.3,3
5,9,129.49998298474668,-32.042933366974744,35.3,3
5,10,-129.49998298485644,-32.042933366974694,35.3,3
5,11,147.99997460118274,1.2639135870103915E-11,35.3,3
5,12,-147.99997460098695,1.2602886334180527E-11,35.3,3
5,13,129.49998298474668,32.042933366999996,35.3,3
5,14,-129.49998298485644,32.042933366999904,35.3,3
5,15,110.99998928487652,64.08586853836461,35.3,3
5,16,-110.9999892848265,64.08586853836464,35.3,3
5,17,92.49999379909505,96.12880319416462,35.3,3
5,18,-92.49999379914668,96.1288031941646,35.3,3
5,19,73.999996825147,128.1717350145862,35.3,3
5,20,36.99999960313505,128.17174120093725,35.3,3
5,21,0.0,128.17174326301028,35.3,3
5,22,-36.9999996030085,128.17174120093722,35.3,3
5,23,-73.99999682515045,128.1717350145861,35.3,3
6,0,92.49999379910139,-160.21465136899204,35.3,3
6,1,55.49999866062544,-160.21466167969422,35.3,3
6,2,18.49999995039946,-160.2146668350188,35.3,3
6,3,-18.499999950445808,-160.2146668350188,35.3,3
6,4,-55.49999866072095,-160.21466167969425,35.3,3
6,5,-92.49999379914668,-160.214651368992,35.3,3
6,6,110.99998928490568,-128.17172470396838,35.3,3
6,7,-110.9999892848265,-128.17172470396838,35.3,3
6,8,129.49998298482143,-96.12879391462677,35.3,3
6,9,-129.49998298485644,-96.12879391462677,35.3,3
6,10,147.99997460123532,-64.08586132091817,35.3,3
6,11,-147.99997460135333,-64.08586132091826,35.3,3
6,12,166.4999638365024,-32.042929242739596,35.3,3
6,13,-166.4999638364341,-32.04292924273956,35.3,3
6,14,184.9999503929152,1.2641399635637617E-11,35.3,3
6,15,-184.9999503927652,1.2596087722294507E-11,35.3,3
6,16,166.49996383650236,32.04292924276491,35.3,3
6,17,-166.4999638364341,32.042929242764906,35.3,3
6,18,147.99997460123527,64.08586132094352,35.3,3
6,19,-147.99997460135333,64.08586132094347,35.3,3
6,20,129.4999829848214,96.12879391465209,35.3,3
6,21,-129.49998298485644,96.12879391465212,35.3,3
6,22,110.99998928490561,128.1717247039937,35.3,3
6,23,-110.9999892848265,128.1717247039937,35.3,3
6,24,92.49999379910132,160.21465136901736,35.3,3
6,25,55.49999866062538,160.2146616797195,35.3,3
6,26,18.49999995039943,160.21466683504406,35.3,3
6,27,-18.499999950445808,160.21466683504406,35.3,3
6,28,-55.49999866072095,160.21466167971954,35.3,3
6,29,-92.49999379914668,160.21465136901722,35.3,3
7,0,110.99998928487615,-192.25755612403077,35.3,3
7,1,73.99999682516508,-192.25757159000963,35.3,3
7,2,36.999999603141106,-192.25758086951677,35.3,3
7,3,2.354477029969285E-14,-192.25758396271428,35.3,3
7,4,-36.9999996030085,-192.25758086951677,35.3,3
7,5,-73.99999682515045,-192.25757159000966,35.3,3
7,6,-110.9999892848265,-192.25755612403074,35.3,3
7,7,129.49998298480693,-160.21463590311487,35.3,3
7,8,-129.49998298485644,-160.2146359031149,35.3,3
7,9,147.99997460117416,-128.17171026904373,35.3,3
7,10,-147.99997460098695,-128.17171026904379,35.3,3
7,11,166.49996383645222,-96.12878154183926,35.3,3
7,12,-166.4999638364341,-96.12878154183939,35.3,3
7,13,184.999950392933,-64.08585204132768,35.3,3
7,14,-184.9999503927652,-64.08585204132757,35.3,3
7,15,203.4999339730643,-32.042924087425234,35.3,3
7,16,-203.49993397301307,-32.04292408742519,35.3,3
7,17,221.99991427903245,1.2643662993674161E-11,35.3,3
7,18,-221.9999142791115,1.2589288707285387E-11,35.3,3
7,19,203.4999339730643,32.04292408745052,35.3,3
7,20,-203.49993397301307,32.04292408745038,35.3,3
7,21,184.999950392933,64.08585204135302,35.3,3
7,22,-184.9999503927652,64.08585204135309,35.3,3
7,23,166.49996383645222,96.12878154186454,35.3,3
7,24,-166.4999638364341,96.12878154186461,35.3,3
7,25,147.99997460117413,128.17171026906905,35.3,3
7,26,-147.99997460098695,128.17171026906897,35.3,3
7,27,129.49998298480682,160.21463590314022,35.3,3
